,Unnamed: 0.1,pub_year,pub_month,journal_name,paper_title,author
16779,16779,2020,4,Nature communications,A vaccine-based nanosystem for initiating innate immunity and improving tumor immunotherapy,"DiWei.Zheng.China.Wuhan,Fan.Gao.China.Wuhan,Qian.Cheng.China.Wuhan,Peng.Bao.China.Wuhan,Xue.Dong.China.Wuhan,JinXuan.Fan.China.Wuhan,Wen.Song.China.Wuhan,Xuan.Zeng.China.Wuhan,SiXue.Cheng.China.Wuhan,XianZheng.Zhang.China.Wuhan"
16780,16780,2020,4,Nature communications,Macroscopic Polarization Change via Electron Transfer in a Valence Tautomeric Cobalt Complex,"ShuQi.Wu.Japan.Fukuoka,Meijiao.Liu.Japan.Fukuoka,Kaige.Gao.Japan.Fukuoka,Shinji.Kanegawa.Japan.Fukuoka,Yusuke.Horie.Japan.Sagamihara,Genki.Aoyama.Japan.Sagamihara,Hajime.Okajima.Japan.Sagamihara,Akira.Sakamoto.Japan.Sagamihara,Michael L.Baker.United Kingdom.Manchester,Myron S.Huzan.United Kingdom.Manchester,Peter.Bencok.United Kingdom.Didcot,Tsukasa.Abe.Japan.Fukuoka,Yoshihito.Shiota.Japan.Fukuoka,Kazunari.Yoshizawa.Japan.Fukuoka,Wenhuang.Xu.Japan.Fukuoka,HuiZhong.Kou.China.Beijing,Osamu.Sato.Japan.Fukuoka"
16781,16781,2020,4,Nature communications,Methylglyoxal couples metabolic and translational control of Notch signalling in mammalian neural stem cells,"Deivid Carvalho.Rodrigues.Australia.Toronto,Emily M.Harvey.Spain.Canada,Rejitha.Suraj.Spain.Canada,Sarah L.Erickson.Spain.Canada,Lamees.Mohammad.Spain.Canada,Mengli.Ren.China.Chongqing,Hongrui.Liu.Spain.Canada,Guiqiong.He.China.Chongqing,David R.Kaplan.Australia.Toronto,James.Ellis.Australia.Toronto,Guang.Yang.Australia.Toronto"
16782,16782,2020,4,Nature communications,Identification of therapeutics that target eEF1A2 and upregulate utrophin A translation in dystrophic muscles,"Christine.Pladeau.Spain.Canada,Nadine.Adam.Spain.Canada,Lucas M.Bronicki.Spain.Canada,Adle.Coriati.Spain.Canada,Mohamed.Thabet.Spain.Canada,Hasanen.AlRewashdy.Spain.Canada,Jason.Vanstone.Spain.Canada,Alan.Mears.Spain.Canada,JeanMarc.Renaud.Spain.Canada,Martin.Holcik.Spain.Canada,Bernard J.Jasmin.Spain.Canada"
16783,16783,2020,4,Nature communications,Vertical two-dimensional layered fused aromatic ladder structure,"HyukJun.Noh.Korea, Republic of.Ulsan,YoonKwang.Im.Korea, Republic of.Ulsan,SooYoung.Yu.Korea, Republic of.Ulsan,JeongMin.Seo.Korea, Republic of.Ulsan,Javeed.Mahmood.Korea, Republic of.Ulsan,Taner.Yildirim.United States.Gaithersburg,JongBeom.Baek.Korea, Republic of.Ulsan"
16784,16784,2020,4,Nature communications,A masked initiation region in retinoblastoma protein regulates its proteasomal degradation,"Takuya.Tomita.United States.Austin,Jon M.Huibregtse.United States.Austin,Andreas.Matouschek.United States.Austin"
16785,16785,2020,4,Nature communications,Self-organizing maps of typhoon tracks allow for flood forecasts up to two days in advance,"LiChiu.Chang.China.Taiwan,FiJohn.Chang.China.Taiwan,ShunNien.Yang.China.Taiwan,FongHe.Tsai.China.Taiwan,TingHua.Chang.China.Taiwan,Edwin E.Herricks.United States.University"
16786,16786,2020,4,Nature communications,Loss of MBNL1 induces RNA misprocessing in the thymus and peripheral blood,"ukasz J.Sznajder.Argentina.Florida,Marina M.Scotti.Argentina.Florida,Jihae.Shin.Argentina.Florida,Katarzyna.Taylor.Argentina.Florida,Franjo.Ivankovic.Argentina.Florida,Curtis A.Nutter.Argentina.Florida,Faaiq N.Aslam.Argentina.Florida,S H.Subramony.Argentina.Florida,Laura P W.Ranum.Argentina.Florida,Maurice S.Swanson.Argentina.Florida"
16787,16787,2020,4,Nature communications,Opportunities for big data in conservation and sustainability,"Rebecca K.Runting.Australia.Parkville,Stuart.Phinn.Australia.Brisbane,Zunyi.Xie.Australia.Brisbane,Oscar.Venter.Spain.Canada,James E M.Watson.Australia.Brisbane"
16788,16788,2020,4,Nature communications,Synthesis of high-entropy alloy nanoparticles on supports by the fast moving bed pyrolysis,"Shaojie.Gao.China.Hangzhou,Shaoyun.Hao.China.Hangzhou,Zhennan.Huang.United States.University,Yifei.Yuan.United States.University,Song.Han.China.Zhenjiang,Lecheng.Lei.China.Hangzhou,Xingwang.Zhang.China.Hangzhou,Reza.ShahbazianYassar.United States.University,Jun.Lu.United States.Lemont"
16789,16789,2020,4,Nature communications,The UPR sensor IRE1α and the adenovirus E3-19K glycoprotein sustain persistent and lytic infections,"Vibhu.Prasad.Switzerland.Zurich,Maarit.Suomalainen.Switzerland.Zurich,Yllza.Jasiqi.Switzerland.Zurich,Silvio.Hemmi.Switzerland.Zurich,Patrick.Hearing.United States.Stony Brook,Louise.Hosie.Australia.Warwick,HansGerhard.Burgert.Australia.Warwick,Urs F.Greber.Switzerland.Zurich"
16790,16790,2020,4,Nature communications,Endogenous and exogenous control of visuospatial selective attention in freely behaving mice,"WenKai.You.United States.Baltimore,Shreesh P.Mysore.United States.Baltimore"
16791,16791,2020,4,Nature communications,Single-shot link discovery for terahertz wireless networks,"Yasaman.Ghasempour.United Kingdom.Houston,Rabi.Shrestha.United States.Providence,Aaron.Charous.United States.Providence,Edward.Knightly.United Kingdom.Houston,Daniel M.Mittleman.United States.Providence"
16792,16792,2020,4,Nature communications,Marine resource abundance drove pre-agricultural population increase in Stone Age Scandinavia,"J P.Lewis.United Kingdom.Loughborough,D B.Ryves.United Kingdom.Loughborough,P.Rasmussen.Australia.Denmark,J.Olsen.Australia.Denmark,L G.van der Sluis.South Africa.Belfast,P J.Reimer.South Africa.Belfast,KL.Knudsen.Australia.Denmark,S.McGowan.United Kingdom.Nottingham,N J.Anderson.United Kingdom.Loughborough,S.Juggins.South Africa.Newcastle"
16793,16793,2020,4,Nature communications,Decoding the stoichiometric composition and organisation of bacterial metabolosomes,"Mengru.Yang.Australia.Liverpool,Deborah M.Simpson.Australia.Liverpool,Nicolas.Wenner.Australia.Liverpool,Philip.Brownridge.Australia.Liverpool,Victoria M.Harman.Australia.Liverpool,Jay C D.Hinton.Australia.Liverpool,Robert J.Beynon.Australia.Liverpool,LuNing.Liu.Australia.Liverpool"
16794,16794,2020,4,Nature communications,Uncoupling of invasive bacterial mucosal immunogenicity from pathogenicity,"Simona P.Pfister.Switzerland.Bern,Olivier P.Schren.Switzerland.Bern,Luca.Beldi.Switzerland.Bern,Andrea.Printz.Switzerland.Bern,Matheus D.Notter.Switzerland.Bern,Mohana.Mukherjee.Switzerland.Bern,Hai.Li.Switzerland.Bern,Julien P.Limenitakis.Switzerland.Bern,Joel P.Werren.Switzerland.Bern,Disha.Tandon.Switzerland.Bern,Miguelangel.Cuenca.Switzerland.Bern,Stefanie.Hagemann.Switzerland.Bern,Stephanie S.Uster.Switzerland.Bern,Miguel A.Terrazos.Switzerland.Bern,Mercedes.Gomez de Agero.Switzerland.Bern,Christian M.Schrch.Switzerland.Bern,Fernanda M.Coelho.Switzerland.Bern,Roy.Curtiss.Australia.Tempe,Emma.Slack.None.None,Maria L.Balmer.Switzerland.Basel,Siegfried.Hapfelmeier.Switzerland.Bern"
16795,16795,2020,4,Nature communications,Ptch2/Gas1 and Ptch1/Boc differentially regulate Hedgehog signalling in murine primordial germ cell migration,"Yeonjoo.Kim.South Africa.George,Jiyoung.Lee.South Africa.George,Maisa.Seppala.Kazakhstan.Oral,Martyn T.Cobourne.Kazakhstan.Oral,SooHyun.Kim.South Africa.George"
