,Unnamed: 0.1,pub_year,pub_month,journal_name,paper_title,author
0,0,2020,9,Nature neuroscience,Magneto is ineffective in controlling electrical properties of cerebellar Purkinje cells,"FangXiao.Xu.China.Hangzhou,Lin.Zhou.China.Hangzhou,XinTai.Wang.China.Hangzhou,Fan.Jia.China.Wuhan,KuangYi.Ma.China.Hangzhou,Na.Wang.China.Hangzhou,Li.Lin.China.Wenzhou,FuQiang.Xu.China.Wuhan,Ying.Shen.China.Hangzhou"
1,1,2020,9,Nature neuroscience,Revaluation of magnetic properties of Magneto,"Guangfu.Wang.None.None,Peng.Zhang.None.None,Suresh K.Mendu.None.None,Yali.Wang.None.None,Yajun.Zhang.None.None,Xi.Kang.None.None,Bimal N.Desai.None.None,J Julius.Zhu.None.None"
2,2,2020,9,Nature neuroscience,Assessing the utility of Magneto to control neuronal excitability in the somatosensory cortex,"Koen.Kole.Netherlands.Nijmegen,Yiping.Zhang.Netherlands.Nijmegen,Eric J R.Jansen.Netherlands.Nijmegen,Terence.Brouns.Netherlands.Nijmegen,Ate.Bijlsma.Netherlands.Nijmegen,Niccolo.Calcini.Netherlands.Nijmegen,Xuan.Yan.Netherlands.Nijmegen,Angelica da Silva.Lantyer.Netherlands.Nijmegen,Tansu.Celikel.Netherlands.Nijmegen"
3,3,2020,9,Nature neuroscience,"Reply to: Magneto is ineffective in controlling electrical properties of cerebellar Purkinje cells, Assessing the utility of Magneto to control neuronal excitability in the somatosensory cortex and Revaluation of magnetic properties of Magneto","Michael A.Wheeler.None.None,Christopher D.Deppmann.None.None,Manoj K.Patel.None.None,Ali D.Gler.None.None"
4,4,2020,8,Nature reviews. Cardiology,Heart failure as interstitial cancer: emergence of a malignant fibroblast phenotype,"Kelsie E.Oatmen.None.None,Elizabeth.Cull.Liberia.Greenville,Francis G.Spinale.None.None"
5,5,2020,7,Nature materials,Programming nanoparticle valence bonds with single-stranded DNA encoders,"Guangbao.Yao.China.Shanghai,Jiang.Li.China.Shanghai,Qian.Li.China.Shanghai,Xiaoliang.Chen.China.Shanghai,Xiaoguo.Liu.China.Shanghai,Fei.Wang.China.Shanghai,Zhibei.Qu.China.Shanghai,Zhilei.Ge.China.Shanghai,Raghu Pradeep.Narayanan.Australia.Tempe,Dewight.Williams.Australia.Tempe,Hao.Pei.China.Shanghai,Xiaolei.Zuo.China.Shanghai,Lihua.Wang.China.Shanghai,Hao.Yan.Australia.Tempe,Ben L.Feringa.Netherlands.Groningen,Chunhai.Fan.China.Shanghai"
6,6,2020,6,Nature biomedical engineering,Lymphatic remodelling in response to lymphatic injury in the hind limbs of sheep,"Tyler S.Nelson.None.None,Zhanna.Nepiyushchikh.None.None,Joshua S T.Hooks.None.None,Mohammad S.Razavi.None.None,Tristan.Lewis.Greece.Athens,Cristina C.Clement.None.None,Merrilee.Thoresen.Greece.Athens,Matthew T.Cribb.None.None,Mindy K.Ross.None.None,Rudolph L.Gleason.None.None,Laura.Santambrogio.None.None,John F.Peroni.Greece.Athens,J Brandon.Dixon.None.None"
7,7,2020,5,Nature reviews. Cardiology,Assessment of mitral valve regurgitation by cardiovascular magnetic resonance imaging,"Pankaj.Garg.Australia.Sheffield,Andrew J.Swift.Australia.Sheffield,Liang.Zhong.Singapore.Singapore,CarlJohan.Carlhll.Sweden.Linköping,Tino.Ebbers.Sweden.Linköping,Jos.Westenberg.Netherlands.Leiden,Michael D.Hope.None.None,Chiara.BucciarelliDucci.None.None,Jeroen J.Bax.Netherlands.Leiden,Saul G.Myerson.None.None"
8,8,2020,5,Nature reviews. Cardiology,Genetics of dilated cardiomyopathy: practical implications for heart failure management,"Andrew N.Rosenbaum.Australia.Rochester,Katherine E.Agre.Australia.Rochester,Naveen L.Pereira.Australia.Rochester"
9,9,2020,5,Nature reviews. Drug discovery,Rethinking drug design in the artificial intelligence era,"Petra.Schneider.Switzerland.Zurich,W Patrick.Walters.Australia.Cambridge,Alleyn T.Plowright.None.None,Norman.Sieroka.Germany.Bremen,Jennifer.Listgarten.Australia.Berkeley,Robert A.Goodnow.None.None,Jasmin.Fisher.Australia.Cambridge,Johanna M.Jansen.None.None,Jos S.Duca.Australia.Cambridge,Thomas S.Rush.None.None,Matthias.Zentgraf.Germany.Biberach,John Edward.Hill.None.None,Elizabeth.Krutoholow.None.None,Matthias.Kohler.Switzerland.Zurich,Jeff.Blaney.None.None,Kimito.Funatsu.Japan.Tokyo,Chris.Luebkemann.Switzerland.Zurich,Gisbert.Schneider.Switzerland.Zurich"
10,10,2020,5,Nature reviews. Immunology,Organoids in immunological research,"Yotam E.BarEphraim.Netherlands.Utrecht,Kai.Kretzschmar.Netherlands.Utrecht,Hans.Clevers.Netherlands.Utrecht"
11,11,2020,5,Nature reviews. Microbiology,The global preclinical antibacterial pipeline,"Ursula.Theuretzbacher.Austria.Vienna,Kevin.Outterson.None.None,Aleks.Engel.Australia.Denmark,Anders.Karln.Sweden.Uppsala"
12,12,2020,5,Nature reviews. Microbiology,"Antibiotic development - economic, regulatory and societal challenges","Christine.rdal.Norway.Oslo,Manica.Balasegaram.Switzerland.Geneva,Ramanan.Laxminarayan.None.None,David.McAdams.None.None,Kevin.Outterson.None.None,John H.Rex.None.None,Nithima.Sumpradit.Thailand.Nonthaburi"
13,13,2020,4,Nature biomedical engineering,Opportunities and challenges of translational 3D bioprinting,"Sean V.Murphy.Japan.Wake,Paolo.De Coppi.None.None,Anthony.Atala.Japan.Wake"
14,14,2020,4,Nature biomedical engineering,Growth factors with enhanced syndecan binding generate tonic signalling and promote tissue healing,"Mayumi.Mochizuki.Seychelles.Victoria,Esra.G.Switzerland.Lausanne,Anthony J.Park.Seychelles.Victoria,Ziad.Julier.Seychelles.Victoria,Priscilla S.Briquez.Switzerland.Lausanne,Gisela A.Kuhn.None.None,Ralph.Mller.None.None,Melody A.Swartz.Switzerland.Lausanne,Jeffrey A.Hubbell.Switzerland.Lausanne,Mikal M.Martino.Seychelles.Victoria"
15,15,2020,4,Nature biomedical engineering,Sustained perfusion of revascularized bioengineered livers heterotopically transplanted into immunosuppressed pigs,"Mohammed F.Shaheen.Australia.Rochester,Dong Jin.Joo.Australia.Rochester,Jeffrey J.Ross.None.None,Brett D.Anderson.None.None,Harvey S.Chen.Australia.Rochester,Robert C.Huebert.Australia.Rochester,Yi.Li.Australia.Rochester,Bruce.Amiot.Australia.Rochester,Anne.Young.None.None,Viviana.Zlochiver.None.None,Erek.Nelson.Australia.Rochester,Taofic.Mounajjed.Australia.Rochester,Allan B.Dietz.Australia.Rochester,Gregory.Michalak.Australia.Rochester,Benjamin G.Steiner.None.None,Dominique Seetapun.Davidow.None.None,Christopher R.Paradise.Australia.Rochester,Andre J.van Wijnen.Australia.Rochester,Vijay H.Shah.Australia.Rochester,Mengfei.Liu.Australia.Rochester,Scott L.Nyberg.Australia.Rochester"
16,16,2020,4,Nature chemical biology,Dynamics of transcription-translation coordination tune bacterial indole signaling,"Tianmin.Wang.China.Beijing,Xiang.Zheng.China.Beijing,Haonan.Ji.China.Beijing,TingLiang.Wang.China.Beijing,XinHui.Xing.China.Beijing,Chong.Zhang.China.Beijing"
17,17,2020,4,Nature chemical biology,An efficient gene knock-in strategy using 5'-modified double-stranded DNA donors with short homology arms,"Yi.Yu.None.None,Yijun.Guo.None.None,Qiqi.Tian.None.None,Yuanqing.Lan.None.None,Hugh.Yeh.None.None,Meng.Zhang.None.None,Ipek.Tasan.None.None,Surbhi.Jain.None.None,Huimin.Zhao.None.None"
18,18,2020,4,Nature chemical biology,Accurate annotation of human protein-coding small open reading frames,"Thomas F.Martinez.Australia.Clayton,Qian.Chu.Australia.Clayton,Cynthia.Donaldson.Australia.Clayton,Dan.Tan.Australia.Clayton,Maxim N.Shokhirev.Australia.Newman,Alan.Saghatelian.Australia.Clayton"
19,19,2020,4,Nature human behaviour,Comparing meta-analyses and preregistered multiple-laboratory replication projects,"Amanda.Kvarven.Netherlands.Bergen,Eirik.Strmland.Netherlands.Bergen,Magnus.Johannesson.Sweden.Stockholm"
20,20,2020,4,Nature materials,Mutant lamins cause nuclear envelope rupture and DNA damage in skeletal muscle cells,"Ashley J.Earle.None.None,Tyler J.Kirby.None.None,Gregory R.Fedorchak.None.None,Philipp.Isermann.None.None,Jineet.Patel.None.None,Sushruta.Iruvanti.None.None,Steven A.Moore.None.None,Gisle.Bonne.Gabon.Paris,Lori L.Wallrath.None.None,Jan.Lammerding.None.None"
21,21,2020,4,Nature materials,Biofuel powered glucose detection in bodily fluids with an n-type conjugated polymer,"David.Ohayon.None.None,Georgios.Nikiforidis.None.None,Achilleas.Savva.None.None,Andrea.Giugni.None.None,Shofarul.Wustoni.None.None,Tamilarasan.Palanisamy.None.None,Xingxing.Chen.None.None,Iuliana Petruta.Maria.None.None,Enzo.Di Fabrizio.None.None,Pedro M F J.Costa.None.None,Iain.McCulloch.None.None,Sahika.Inal.None.None"
22,22,2020,4,Nature materials,Multi-messenger nanoprobes of hidden magnetism in a strained manganite,"A S.McLeod.None.None,Jingdi.Zhang.Brazil.California,M Q.Gu.None.None,F.Jin.China.Hefei,G.Zhang.Brazil.California,K W.Post.Brazil.California,X G.Zhao.None.None,A J.Millis.None.None,W B.Wu.China.Hefei,J M.Rondinelli.None.None,R D.Averitt.Brazil.California,D N.Basov.None.None"
23,23,2020,4,Nature materials,Electric and antiferromagnetic chiral textures at multiferroic domain walls,"JY.Chauleau.None.None,T.Chirac.None.None,S.Fusil.France.Palaiseau,V.Garcia.France.Palaiseau,W.Akhtar.France.Montpellier,J.Tranchida.France.Monts,P.Thibaudeau.France.Monts,I.Gross.France.Montpellier,C.Blouzon.None.None,A.Finco.France.Montpellier,M.Bibes.France.Palaiseau,B.Dkhil.None.None,D D.Khalyavin.None.None,P.Manuel.None.None,V.Jacques.France.Montpellier,N.Jaouen.None.None,M.Viret.None.None"
24,24,2020,4,Nature materials,Kinetic pathways of crystallization at the nanoscale,"Zihao.Ou.None.None,Ziwei.Wang.None.None,Binbin.Luo.None.None,Erik.Luijten.None.None,Qian.Chen.None.None"
25,25,2020,4,Nature materials,Crystallization by particle attachment is a colloidal assembly process,"Giulia.Mirabello.Netherlands.Eindhoven,Alessandro.Ianiro.Netherlands.Eindhoven,Paul H H.Bomans.Netherlands.Eindhoven,Takuto.Yoda.Japan.Tokyo,Atsushi.Arakaki.Japan.Tokyo,Heiner.Friedrich.Netherlands.Eindhoven,Gijsbertus.de With.Netherlands.Eindhoven,Nico A J M.Sommerdijk.Netherlands.Eindhoven"
26,26,2020,4,Nature reviews. Cardiology,Non-atherosclerotic causes of acute coronary syndromes,"Thomas M.Waterbury.Australia.Rochester,Giuseppe.Tarantini.Italy.Padova,Birgit.Vogel.None.None,Roxana.Mehran.None.None,Bernard J.Gersh.Australia.Rochester,Rajiv.Gulati.Australia.Rochester"
27,27,2020,4,Nature reviews. Cardiology,Epidemiology of inherited arrhythmias,"Joost A.Offerhaus.Netherlands.Amsterdam,Connie R.Bezzina.Netherlands.Amsterdam,Arthur A M.Wilde.Netherlands.Amsterdam"
28,28,2020,4,Nature reviews. Cardiology,Transcriptional and epigenetic regulation of macrophages in atherosclerosis,"Tatyana.Kuznetsova.Netherlands.Amsterdam,Koen H M.Prange.Netherlands.Amsterdam,Christopher K.Glass.Brazil.California,Menno P J.de Winther.Netherlands.Amsterdam"
29,29,2020,4,Nature reviews. Clinical oncology,Towards personalized treatment for early stage HER2-positive breast cancer,"Kristina.Goutsouliak.None.None,Jamunarani.Veeraraghavan.None.None,Vidyalakshmi.Sethunath.None.None,Carmine.De Angelis.None.None,C Kent.Osborne.None.None,Mothaffar F.Rimawi.None.None,Rachel.Schiff.None.None"
30,30,2020,4,Nature reviews. Clinical oncology,Targeting signalling pathways and the immune microenvironment of cancer stem cells - a clinical update,"Joseph A.Clara.None.None,Cecilia.Monge.None.None,Yingzi.Yang.None.None,Naoko.Takebe.None.None"
31,31,2020,4,Nature reviews. Genetics,Methods for mapping 3D chromosome architecture,"Rieke.Kempfer.Germany.Berlin,Ana.Pombo.Germany.Berlin"
32,32,2020,4,Nature reviews. Genetics,Chromosome organization in bacteria: mechanistic insights into genome structure and function,"Remus T.Dame.Netherlands.Leiden,FatemaZahra M.Rashid.Netherlands.Leiden,David C.Grainger.None.None"
33,33,2020,4,Nature reviews. Immunology,Neuroimmune circuits in inter-organ communication,"Jun R.Huh.None.None,Henrique.VeigaFernandes.Portugal.Portugal"
34,34,2020,4,Nature reviews. Immunology,B cell memory: building two walls of protection against pathogens,"Munir.Akkaya.None.None,Kihyuck.Kwak.None.None,Susan K.Pierce.None.None"
35,35,2020,4,Nature reviews. Immunology,Efferocytosis in health and disease,"Amanda C.Doran.None.None,Arif.Yurdagul.None.None,Ira.Tabas.None.None"
36,36,2020,4,Nature reviews. Immunology,Thymic epithelial cell heterogeneity: TEC by TEC,"Noam.Kadouri.Israel.Rehovot,Shir.Nevo.Israel.Rehovot,Yael.Goldfarb.Israel.Rehovot,Jakub.Abramson.Israel.Rehovot"
37,37,2020,4,Nature reviews. Molecular cell biology,Mechanisms and regulation of cholesterol homeostasis,"Jie.Luo.China.Wuhan,Hongyuan.Yang.Australia.Sydney,BaoLiang.Song.China.Wuhan"
38,38,2020,4,Nature reviews. Nephrology,Design and application of single-cell RNA sequencing to study kidney immune cells in lupus nephritis,"Deepak A.Rao.None.None,Arnon.Arazi.Australia.Cambridge,David.Wofsy.Brazil.California,Betty.Diamond.None.None"
39,39,2020,3,Cell chemical biology,A Systems Chemoproteomic Analysis of Acyl-CoA/Protein Interaction Networks,"Michaella J.Levy.None.None,David C.Montgomery.None.None,Mihaela E.Sardiu.None.None,Jose L.Montano.None.None,Sarah E.Bergholtz.None.None,Kellie D.Nance.None.None,Abigail L.Thorpe.None.None,Stephen D.Fox.None.None,Qishan.Lin.Australia.Albany,Thorkell.Andresson.None.None,Laurence.Florens.None.None,Michael P.Washburn.None.None,Jordan L.Meier.None.None"
40,40,2020,3,Cell chemical biology,Development of Photocrosslinking Probes Based on Huwentoxin-IV to Map the Site of Interaction on Nav1.7,"Foteini.Tzakoniati.None.None,Hui.Xu.None.None,Tianbo.Li.None.None,Natalie.Garcia.None.None,Christine.Kugel.None.None,Jian.Payandeh.None.None,Christopher M.Koth.None.None,Edward W.Tate.None.None"
41,41,2020,3,Nature astronomy,A Global Geomorphologic Map of Saturn's Moon Titan,"R M C.Lopes.Brazil.California,M J.Malaska.Brazil.California,A M.Schoenfeld.None.None,A.Solomonidou.Spain.Madrid,S P D.Birch.None.None,M.Florence.Brazil.California,A G.Hayes.None.None,D A.Williams.Australia.Tempe,J.Radebaugh.None.None,T.Verlander.None.None,E P.Turtle.None.None,A.Le Gall.France.Guyancourt,S.Wall.Brazil.California"
42,42,2020,3,Nature biomedical engineering,First-in-human liver-tumour surgery guided by multispectral fluorescence imaging in the visible and near-infrared-I/II windows,"Zhenhua.Hu.China.Beijing,Cheng.Fang.None.None,Bo.Li.None.None,Zeyu.Zhang.China.Beijing,Caiguang.Cao.China.Beijing,Meishan.Cai.China.Beijing,Song.Su.None.None,Xingwang.Sun.None.None,Xiaojing.Shi.China.Beijing,Cong.Li.China.Beijing,Tiejun.Zhou.None.None,Yuanxue.Zhang.None.None,Chongwei.Chi.China.Beijing,Pan.He.None.None,Xianming.Xia.None.None,Yue.Chen.None.None,Sanjiv Sam.Gambhir.None.None,Zhen.Cheng.None.None,Jie.Tian.China.Beijing"
