,Unnamed: 0,pub_year,pub_month,journal_name,paper_title,author
0,0,2020,9,Nature neuroscience,Magneto is ineffective in controlling electrical properties of cerebellar Purkinje cells,"FangXiao$Xu$Department of Neurobiology and Department of Neurology of First Affiliated Hospital, NHC and CAMS Key Laboratory of Medical Neurobiology, Zhejiang University School of Medicine, Hangzhou, China.#Lin$Zhou$Department of Neurobiology and Department of Neurology of First Affiliated Hospital, NHC and CAMS Key Laboratory of Medical Neurobiology, Zhejiang University School of Medicine, Hangzhou, China.#XinTai$Wang$Department of Neurobiology and Department of Neurology of First Affiliated Hospital, NHC and CAMS Key Laboratory of Medical Neurobiology, Zhejiang University School of Medicine, Hangzhou, China.#Fan$Jia$State Key Laboratory of Magnetic Resonance and Atomic and Molecular Physics, Brain Research Center, Wuhan Institute of Physics and Mathematics, Chinese Academy of Sciences, Wuhan, China.#KuangYi$Ma$Department of Neurobiology and Department of Neurology of First Affiliated Hospital, NHC and CAMS Key Laboratory of Medical Neurobiology, Zhejiang University School of Medicine, Hangzhou, China.#Na$Wang$School of Medicine, Zhejiang University City College, Hangzhou, China.#Li$Lin$School of Pharmaceutical Sciences, Wenzhou Medical University, Wenzhou, China.#FuQiang$Xu$State Key Laboratory of Magnetic Resonance and Atomic and Molecular Physics, Brain Research Center, Wuhan Institute of Physics and Mathematics, Chinese Academy of Sciences, Wuhan, China.#Ying$Shen$Department of Neurobiology and Department of Neurology of First Affiliated Hospital, NHC and CAMS Key Laboratory of Medical Neurobiology, Zhejiang University School of Medicine, Hangzhou, China. yshen@zju.edu.cn."
1,1,2020,9,Nature neuroscience,Revaluation of magnetic properties of Magneto,"Guangfu$Wang$Department of Pharmacology, University of Virginia School of Medicine, Charlottesville, VA, USA.#Peng$Zhang$Department of Pharmacology, University of Virginia School of Medicine, Charlottesville, VA, USA.#Suresh K$Mendu$Department of Pharmacology, University of Virginia School of Medicine, Charlottesville, VA, USA.#Yali$Wang$Department of Pharmacology, University of Virginia School of Medicine, Charlottesville, VA, USA.#Yajun$Zhang$Department of Pharmacology, University of Virginia School of Medicine, Charlottesville, VA, USA.#Xi$Kang$Department of Pharmacology, University of Virginia School of Medicine, Charlottesville, VA, USA.#Bimal N$Desai$Department of Pharmacology, University of Virginia School of Medicine, Charlottesville, VA, USA. bdesai@virginia.edu.#J Julius$Zhu$Department of Pharmacology, University of Virginia School of Medicine, Charlottesville, VA, USA. jjzhu@virginia.edu."
2,2,2020,9,Nature neuroscience,Assessing the utility of Magneto to control neuronal excitability in the somatosensory cortex,"Koen$Kole$Department of Neurophysiology, Donders Institute for Brain, Cognition and Behaviour, Radboud University, Nijmegen, the Netherlands.#Yiping$Zhang$Department of Neurophysiology, Donders Institute for Brain, Cognition and Behaviour, Radboud University, Nijmegen, the Netherlands.#Eric J R$Jansen$Department of Neurophysiology, Donders Institute for Brain, Cognition and Behaviour, Radboud University, Nijmegen, the Netherlands.#Terence$Brouns$Department of Neurophysiology, Donders Institute for Brain, Cognition and Behaviour, Radboud University, Nijmegen, the Netherlands.#Ate$Bijlsma$Department of Neurophysiology, Donders Institute for Brain, Cognition and Behaviour, Radboud University, Nijmegen, the Netherlands.#Niccolo$Calcini$Department of Neurophysiology, Donders Institute for Brain, Cognition and Behaviour, Radboud University, Nijmegen, the Netherlands.#Xuan$Yan$Department of Neurophysiology, Donders Institute for Brain, Cognition and Behaviour, Radboud University, Nijmegen, the Netherlands.#Angelica da Silva$Lantyer$Department of Neurophysiology, Donders Institute for Brain, Cognition and Behaviour, Radboud University, Nijmegen, the Netherlands.#Tansu$Celikel$Department of Neurophysiology, Donders Institute for Brain, Cognition and Behaviour, Radboud University, Nijmegen, the Netherlands. celikel@neurophysiology.nl."
3,3,2020,9,Nature neuroscience,"Reply to: Magneto is ineffective in controlling electrical properties of cerebellar Purkinje cells, Assessing the utility of Magneto to control neuronal excitability in the somatosensory cortex and Revaluation of magnetic properties of Magneto","Michael A$Wheeler$Department of Biology, University of Virginia, Charlottesville, VA, USA.#Christopher D$Deppmann$Department of Biology, University of Virginia, Charlottesville, VA, USA.#Manoj K$Patel$Department of Anesthesiology, University of Virginia, Charlottesville, VA, USA.#Ali D$Gler$Department of Biology, University of Virginia, Charlottesville, VA, USA. aguler@virginia.edu."
4,4,2020,8,Nature reviews. Cardiology,Heart failure as interstitial cancer: emergence of a malignant fibroblast phenotype,"Kelsie E$Oatmen$Cardiovascular Translational Research Center, University of South Carolina School of Medicine, Columbia, SC, USA.#Elizabeth$Cull$Prisma Health AYA Oncology Program, Greenville Memorial Medical Campus, Greenville, SC, USA.#Francis G$Spinale$Cardiovascular Translational Research Center, University of South Carolina School of Medicine, Columbia, SC, USA. cvctrc@uscmed.sc.edu."
5,5,2020,7,Nature materials,Programming nanoparticle valence bonds with single-stranded DNA encoders,"Guangbao$Yao$Frontiers Science Center for Transformative Molecules, School of Chemistry and Chemical Engineering, Institute of Molecular Medicine, Renji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, China.#Jiang$Li$Division of Physical Biology, CAS Key Laboratory of Interfacial Physics and Technology, Shanghai Institute of Applied Physics, Chinese Academy of Sciences, Shanghai, China.#Qian$Li$Frontiers Science Center for Transformative Molecules, School of Chemistry and Chemical Engineering, Institute of Molecular Medicine, Renji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, China.#Xiaoliang$Chen$Division of Physical Biology, CAS Key Laboratory of Interfacial Physics and Technology, Shanghai Institute of Applied Physics, Chinese Academy of Sciences, Shanghai, China.#Xiaoguo$Liu$Frontiers Science Center for Transformative Molecules, School of Chemistry and Chemical Engineering, Institute of Molecular Medicine, Renji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, China.#Fei$Wang$Frontiers Science Center for Transformative Molecules, School of Chemistry and Chemical Engineering, Institute of Molecular Medicine, Renji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, China.#Zhibei$Qu$Frontiers Science Center for Transformative Molecules, School of Chemistry and Chemical Engineering, Institute of Molecular Medicine, Renji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, China.#Zhilei$Ge$Frontiers Science Center for Transformative Molecules, School of Chemistry and Chemical Engineering, Institute of Molecular Medicine, Renji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, China.#Raghu Pradeep$Narayanan$Center for Molecular Design and Biomimetics, The Biodesign Institute, School of Molecular Sciences, Arizona State University, Tempe, AZ, USA.#Dewight$Williams$Erying Materials Center, Office of Knowledge Enterprise Development, Arizona State University, Tempe, AZ, USA.#Hao$Pei$Shanghai Key Laboratory of Green Chemistry and Chemical Processes, School of Chemistry and Molecular Engineering, East China Normal University, Shanghai, China.#Xiaolei$Zuo$Frontiers Science Center for Transformative Molecules, School of Chemistry and Chemical Engineering, Institute of Molecular Medicine, Renji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, China.#Lihua$Wang$Division of Physical Biology, CAS Key Laboratory of Interfacial Physics and Technology, Shanghai Institute of Applied Physics, Chinese Academy of Sciences, Shanghai, China.#Hao$Yan$Center for Molecular Design and Biomimetics, The Biodesign Institute, School of Molecular Sciences, Arizona State University, Tempe, AZ, USA.#Ben L$Feringa$Stratingh Institute for Chemistry, University of Groningen, Groningen, The Netherlands. b.l.feringa@rug.nl.#Chunhai$Fan$Frontiers Science Center for Transformative Molecules, School of Chemistry and Chemical Engineering, Institute of Molecular Medicine, Renji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, China. fanchunhai@sjtu.edu.cn."
6,6,2020,6,Nature biomedical engineering,Lymphatic remodelling in response to lymphatic injury in the hind limbs of sheep,"Tyler S$Nelson$Parker H. Petit Institute for Bioengineering and Bioscience, Georgia Institute of Technology, Atlanta, GA, USA.#Zhanna$Nepiyushchikh$Parker H. Petit Institute for Bioengineering and Bioscience, Georgia Institute of Technology, Atlanta, GA, USA.#Joshua S T$Hooks$Parker H. Petit Institute for Bioengineering and Bioscience, Georgia Institute of Technology, Atlanta, GA, USA.#Mohammad S$Razavi$Parker H. Petit Institute for Bioengineering and Bioscience, Georgia Institute of Technology, Atlanta, GA, USA.#Tristan$Lewis$College of Veterinary Medicine, University of Georgia, Athens, GA, USA.#Cristina C$Clement$Department of Pathology, Albert Einstein College of Medicine, Bronx, NY, USA.#Merrilee$Thoresen$College of Veterinary Medicine, University of Georgia, Athens, GA, USA.#Matthew T$Cribb$Parker H. Petit Institute for Bioengineering and Bioscience, Georgia Institute of Technology, Atlanta, GA, USA.#Mindy K$Ross$Parker H. Petit Institute for Bioengineering and Bioscience, Georgia Institute of Technology, Atlanta, GA, USA.#Rudolph L$Gleason$Parker H. Petit Institute for Bioengineering and Bioscience, Georgia Institute of Technology, Atlanta, GA, USA.#Laura$Santambrogio$Department of Pathology, Albert Einstein College of Medicine, Bronx, NY, USA.#John F$Peroni$College of Veterinary Medicine, University of Georgia, Athens, GA, USA.#J Brandon$Dixon$Parker H. Petit Institute for Bioengineering and Bioscience, Georgia Institute of Technology, Atlanta, GA, USA. dixon@gatech.edu."
7,7,2020,5,Nature reviews. Cardiology,Assessment of mitral valve regurgitation by cardiovascular magnetic resonance imaging,"Pankaj$Garg$Department of Infection, Immunity and Cardiovascular Disease, University of Sheffield, Sheffield, UK. p.garg@sheffield.ac.uk.#Andrew J$Swift$Department of Infection, Immunity and Cardiovascular Disease, University of Sheffield, Sheffield, UK.#Liang$Zhong$National Heart Centre Singapore, Duke-NUS Medical School, National University of Singapore, Singapore, Singapore.#CarlJohan$Carlhll$Department of Medical and Health Sciences, Linköping University, Linköping, Sweden.#Tino$Ebbers$Department of Medical and Health Sciences, Linköping University, Linköping, Sweden.#Jos$Westenberg$Department of Radiology, Leiden University Medical Center, Leiden, Netherlands.#Michael D$Hope$Department of Radiology, University of California-San Francisco, San Francisco, CA, USA.#Chiara$BucciarelliDucci$Bristol Heart Institute, Bristol National Institute of Health Research (NIHR) Biomedical Research Centre, University Hospitals Bristol NHS Trust and University of Bristol, Bristol, UK.#Jeroen J$Bax$Department of Cardiology, Leiden University Medical Center, Leiden, Netherlands.#Saul G$Myerson$Departments of Cardiology and Cardiovascular Medicine, University of Oxford Centre for Clinical Magnetic Resonance Research, John Radcliffe Hospital, Oxford, UK."
8,8,2020,5,Nature reviews. Cardiology,Genetics of dilated cardiomyopathy: practical implications for heart failure management,"Andrew N$Rosenbaum$Department of Cardiovascular Medicine, Mayo Clinic, Rochester, MN, USA.#Katherine E$Agre$Department of Clinical Genomics, Mayo Clinic, Rochester, MN, USA.#Naveen L$Pereira$Department of Cardiovascular Medicine, Mayo Clinic, Rochester, MN, USA. pereira.naveen@mayo.edu."
9,9,2020,5,Nature reviews. Drug discovery,Rethinking drug design in the artificial intelligence era,"Petra$Schneider$ETH Zurich, RETHINK, Department of Chemistry and Applied Biosciences, Zurich, Switzerland.#W Patrick$Walters$Relay Therapeutics, Cambridge, MA, USA.#Alleyn T$Plowright$Sanofi-Aventis Deutschland GmbH, Integrated Drug Discovery, Frankfurt am Main, Germany.#Norman$Sieroka$Institute for Philosophy, University of Bremen, Bremen, Germany.#Jennifer$Listgarten$University of California, Berkeley, Electrical Engineering and Computer Science, Berkeley, CA, USA.#Robert A$Goodnow$Pharmaron USA LLC, Boston, MA, USA.#Jasmin$Fisher$Department of Biochemistry, University of Cambridge, Cambridge, UK.#Johanna M$Jansen$Novartis Institutes for BioMedical Research, Emeryville, CA, USA.#Jos S$Duca$Novartis Institutes for BioMedical Research, Cambridge, MA, USA.#Thomas S$Rush$ATOM Consortium, San Francisco, CA, USA.#Matthias$Zentgraf$Boehringer Ingelheim Pharma GmbH & Co. KG, Medicinal Chemistry, Biberach an der Riss, Germany.#John Edward$Hill$Healthy Life Consultants, New York, NY, USA.#Elizabeth$Krutoholow$Bloomberg Intelligence, Bloomberg LP, London, UK.#Matthias$Kohler$ETH Zurich, Department of Architecture, Zurich, Switzerland.#Jeff$Blaney$Genentech, 1 DNA Way, South San Francisco, CA, USA.#Kimito$Funatsu$The University of Tokyo, Department of Chemical System Engineering, Tokyo, Japan.#Chris$Luebkemann$ETH Zurich, RETHINK, Department of Chemistry and Applied Biosciences, Zurich, Switzerland.#Gisbert$Schneider$ETH Zurich, RETHINK, Department of Chemistry and Applied Biosciences, Zurich, Switzerland. gisbert@ethz.ch."
